"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",52914,0,3190,0,116264,,
"2019-01-02 00:00:00",0,0,0,0,0,,
"2019-01-03 00:00:00",119039,0,0,1227,12235,,
"2019-01-04 00:00:00",5530,0,0,0,10347,,
"2019-01-05 00:00:00",66688,0,0,0,0,,
"2019-01-06 00:00:00",16754,0,0,0,0,,
"2019-01-07 00:00:00",12538,0,0,0,3634,60051.857142857145,
"2019-01-08 00:00:00",112384,0,0,0,4150,52075.42857142857,
"2019-01-09 00:00:00",58975,21022,1771,0,0,63756.71428571428,
"2019-01-10 00:00:00",36466,0,5962,0,0,50889,
"2019-01-11 00:00:00",145995,0,5659,4588,0,70941.28571428571,
"2019-01-12 00:00:00",0,0,459,0,8373,62676.28571428572,
"2019-01-13 00:00:00",58688,30135,0,0,0,72971.85714285714,
"2019-01-14 00:00:00",12057,11533,0,5999,0,74888.57142857143,
"2019-01-15 00:00:00",49279,0,0,0,0,65280.71428571428,
"2019-01-16 00:00:00",31958,0,0,0,0,58164.857142857145,
"2019-01-17 00:00:00",0,13730,13558,0,0,56002,
"2019-01-18 00:00:00",145468,0,0,0,0,54462.71428571428,
"2019-01-19 00:00:00",18375,0,0,1227,0,56001.142857142855,
"2019-01-20 00:00:00",24228,24235,0,0,114730,66625.57142857143,
"2019-01-21 00:00:00",48320,0,0,4735,0,69977.71428571429,
"2019-01-22 00:00:00",39514,4312,0,0,0,69198.71428571429,
"2019-01-23 00:00:00",30779,0,0,0,0,69030.28571428571,
"2019-01-24 00:00:00",20053,18950,2603,1530,0,71294.42857142857,
"2019-01-25 00:00:00",19112,0,0,1227,42345,59468.142857142855,
"2019-01-26 00:00:00",8210,33696,0,0,52669,70178.71428571429,
"2019-01-27 00:00:00",21902,0,0,0,52656,57516.42857142857,
"2019-01-28 00:00:00",16940,4630,3998,0,0,53590,
"2019-01-29 00:00:00",33593,0,0,4709,0,52801,
"2019-01-30 00:00:00",110017,0,0,0,6368,65030.42857142857,
"2019-01-31 00:00:00",65510,0,0,0,0,68226.57142857143,
"2019-02-01 00:00:00",0,4630,0,0,0,59933.142857142855,
"2019-02-02 00:00:00",39636,0,0,0,0,52084.57142857143,
"2019-02-03 00:00:00",35058,25408,0,2762,0,50466.142857142855,
"2019-02-04 00:00:00",78264,0,0,0,68202,67737,
"2019-02-05 00:00:00",56673,4630,0,0,0,71022.85714285714,
"2019-02-06 00:00:00",8694,0,0,0,0,55638.42857142857,
"2019-02-07 00:00:00",69819,0,0,1701,124791,74324.42857142857,
"2019-02-08 00:00:00",102206,0,0,0,0,88263.85714285714,
"2019-02-09 00:00:00",65725,18123,7552,3056,0,96095.57142857143,
"2019-02-10 00:00:00",20814,0,2669,0,0,90417.57142857143,
"2019-02-11 00:00:00",36150,25408,0,0,6950,79280.71428571429,
"2019-02-12 00:00:00",151397,0,0,0,0,92151.14285714286,
"2019-02-13 00:00:00",34871,28017,0,3546,0,100399.85714285714,
"2019-02-14 00:00:00",55878,0,0,1026,0,80484.57142857143,
"2019-02-15 00:00:00",0,0,6174,0,8241,67943,
"2019-02-16 00:00:00",36139,0,0,0,0,59611.71428571428,
"2019-02-17 00:00:00",21173,4345,0,0,0,59902.57142857143,
"2019-02-18 00:00:00",5551,10789,7949,557,0,53665.28571428572,
"2019-02-19 00:00:00",191085,0,0,0,0,59335,
"2019-02-20 00:00:00",4990,0,3415,0,42202,57074,
"2019-02-21 00:00:00",0,0,0,1227,1075,49273.71428571428,
"2019-02-22 00:00:00",11097,0,0,0,0,48799.71428571428,
"2019-02-23 00:00:00",20297,0,3998,0,125238,64999.142857142855,
"2019-02-24 00:00:00",0,11824,0,0,0,63042.71428571428,
"2019-02-25 00:00:00",32477,0,0,0,0,64132.71428571428,
"2019-02-26 00:00:00",0,29716,2603,0,0,41452,
"2019-02-27 00:00:00",56035,0,0,2908,35093,47656,
"2019-02-28 00:00:00",35058,0,5206,0,0,53079.142857142855,
"2019-03-01 00:00:00",0,0,0,2451,3618,52361,
"2019-03-02 00:00:00",94728,0,0,0,0,44531.42857142857,
"2019-03-03 00:00:00",0,0,3537,1227,0,43523,
"2019-03-04 00:00:00",0,27707,0,0,0,42841.57142857143,
"2019-03-05 00:00:00",0,41919,1363,0,51956,51829.857142857145,
"2019-03-06 00:00:00",0,0,18764,0,0,41076.71428571428,
"2019-03-07 00:00:00",40524,0,0,0,0,41113.71428571428,
"2019-03-08 00:00:00",58535,11533,0,0,0,50256.42857142857,
"2019-03-09 00:00:00",26656,10187,0,5420,0,42761.57142857143,
"2019-03-10 00:00:00",18103,23801,0,7359,0,49118.57142857143,
"2019-03-11 00:00:00",22399,4630,0,1227,41014,55056.42857142857,
"2019-03-12 00:00:00",27039,11824,0,1742,0,47251.857142857145,
"2019-03-13 00:00:00",35848,0,0,0,0,49692.42857142857,
"2019-03-14 00:00:00",82973,15649,0,0,0,57992.28571428572,
"2019-03-15 00:00:00",57597,285,0,1227,0,56426.71428571428,
"2019-03-16 00:00:00",22677,25408,0,0,0,57258.28571428572,
"2019-03-17 00:00:00",128869,0,4395,0,0,69258.42857142857,
"2019-03-18 00:00:00",0,0,0,2267,0,59686.28571428572,
"2019-03-19 00:00:00",28981,4916,0,557,686,58905.57142857143,
"2019-03-20 00:00:00",26738,0,4162,1227,5154,59110.57142857143,
"2019-03-21 00:00:00",89288,0,0,0,0,57777,
"2019-03-22 00:00:00",110199,0,0,0,84046,77082.14285714286,
"2019-03-23 00:00:00",7676,4916,0,0,3008,72441.57142857143,
"2019-03-24 00:00:00",0,2505,0,0,0,53761.57142857143,
"2019-03-25 00:00:00",18103,0,0,1742,2550,56637.142857142855,
"2019-03-26 00:00:00",61749,32094,0,0,0,65023.28571428572,
"2019-03-27 00:00:00",18103,25408,0,0,15676,68152.57142857143,
"2019-03-28 00:00:00",33487,0,0,0,0,60181,
"2019-03-29 00:00:00",0,11533,0,0,0,34079.142857142855,
"2019-03-30 00:00:00",30314,30113,5186,1026,4013,41944,
"2019-03-31 00:00:00",0,11824,0,0,0,43275.28571428572,
"2019-04-01 00:00:00",44918,14394,0,2267,0,48873.142857142855,
"2019-04-02 00:00:00",38200,4630,0,0,46922,48288.71428571428,
"2019-04-03 00:00:00",12807,25160,73,0,137850,64960.71428571428,
"2019-04-04 00:00:00",95757,0,0,0,0,73856.42857142857,
"2019-04-05 00:00:00",56378,403,0,0,0,80320.57142857143,
"2019-04-06 00:00:00",31458,4630,5514,3246,7928,77766.85714285714,
"2019-04-07 00:00:00",34130,0,3998,0,0,81524.57142857143,
"2019-04-08 00:00:00",0,11824,0,2830,0,74820.85714285714,
"2019-04-09 00:00:00",56382,4630,0,0,0,70715.14285714286,
"2019-04-10 00:00:00",0,25408,0,5001,3713,50462.42857142857,
"2019-04-11 00:00:00",111379,31438,11719,0,0,58859.57142857143,
"2019-04-12 00:00:00",7691,0,0,0,0,51846.57142857143,
"2019-04-13 00:00:00",67110,4630,0,0,0,54555.42857142857,
"2019-04-14 00:00:00",0,0,0,0,43696,55350.857142857145,
"2019-04-15 00:00:00",18561,33042,2873,2849,139601,81390,
"2019-04-16 00:00:00",35330,0,0,0,0,77721,
"2019-04-17 00:00:00",0,0,0,1227,676,73118.28571428571,
"2019-04-18 00:00:00",182400,4630,0,2936,0,78179.71428571429,
"2019-04-19 00:00:00",62696,5841,0,0,4191,87471,
"2019-04-20 00:00:00",7732,0,0,0,0,78326.85714285714,
"2019-04-21 00:00:00",0,27582,0,0,0,76024.85714285714,
"2019-04-22 00:00:00",0,0,0,1742,0,48141,
"2019-04-23 00:00:00",5967,0,0,0,0,43946.28571428572,
"2019-04-24 00:00:00",27436,0,0,1305,0,47780.142857142855,
