date,postcode,fuel,pc_median,st_median,spread,n_stations
2026-05-31,3001,ulp91,189.9,179.9,10.0,1
2026-05-31,3001,ulp95,206.9,196.9,10.0,1
2026-05-31,3002,ulp91,177.7,179.9,-2.2,1
2026-05-31,3002,ulp95,195.2,196.9,-1.7,1
2026-05-31,3002,diesel,219.5,221.3,-1.8,1
2026-05-31,3011,ulp91,179.9,179.9,0.0,4
2026-05-31,3011,ulp95,195.2,196.9,-1.7,4
2026-05-31,3011,diesel,215.9,221.3,-5.4,4
2026-05-31,3012,ulp91,178.9,179.9,-1.0,12
2026-05-31,3012,ulp95,196.9,196.9,0.0,12
2026-05-31,3012,diesel,209.9,221.3,-11.4,12
2026-05-31,3013,ulp91,177.7,179.9,-2.2,4
2026-05-31,3013,ulp95,191.8,196.9,-5.1,4
2026-05-31,3013,diesel,214.2,221.3,-7.1,4
2026-05-31,3015,ulp91,179.9,179.9,0.0,5
2026-05-31,3015,ulp95,194.9,196.9,-2.0,5
2026-05-31,3015,diesel,239.9,221.3,18.6,5
2026-05-31,3016,ulp91,176.4,179.9,-3.5,4
2026-05-31,3016,ulp95,193.9,196.9,-3.0,4
2026-05-31,3018,ulp91,171.5,179.9,-8.4,4
2026-05-31,3018,ulp95,188.5,196.9,-8.4,4
2026-05-31,3018,diesel,207.5,221.3,-13.8,4
2026-05-31,3019,ulp91,175.9,179.9,-4.0,3
2026-05-31,3019,ulp95,195.4,196.9,-1.5,3
2026-05-31,3019,diesel,205.9,221.3,-15.4,3
2026-05-31,3020,ulp91,177.7,179.9,-2.2,10
2026-05-31,3020,ulp95,195.9,196.9,-1.0,10
2026-05-31,3020,diesel,213.9,221.3,-7.4,10
2026-05-31,3021,ulp91,179.3,179.9,-0.6,11
2026-05-31,3021,ulp95,196.3,196.9,-0.6,11
2026-05-31,3021,diesel,221.2,221.3,-0.1,11
2026-05-31,3022,ulp91,183.7,179.9,3.8,3
2026-05-31,3022,ulp95,202.1,196.9,5.2,3
2026-05-31,3022,diesel,218.5,221.3,-2.8,3
2026-05-31,3023,ulp91,175.9,179.9,-4.0,9
2026-05-31,3023,ulp95,190.9,196.9,-6.0,9
2026-05-31,3023,diesel,214.7,221.3,-6.6,9
2026-05-31,3024,ulp91,185.9,179.9,6.0,2
2026-05-31,3024,ulp95,201.4,196.9,4.5,2
2026-05-31,3025,ulp91,171.3,179.9,-8.6,7
2026-05-31,3025,ulp95,188.8,196.9,-8.1,7
2026-05-31,3025,diesel,209.5,221.3,-11.8,7
2026-05-31,3026,ulp91,179.9,179.9,0.0,16
2026-05-31,3026,ulp95,196.9,196.9,0.0,16
2026-05-31,3026,diesel,213.9,221.3,-7.4,16
2026-05-31,3027,ulp91,183.9,179.9,4.0,1
2026-05-31,3027,ulp95,198.9,196.9,2.0,1
2026-05-31,3028,ulp91,179.9,179.9,0.0,6
2026-05-31,3028,ulp95,197.9,196.9,1.0,6
2026-05-31,3028,diesel,223.3,221.3,2.0,6
2026-05-31,3029,ulp91,179.9,179.9,0.0,33
2026-05-31,3029,ulp95,196.4,196.9,-0.5,33
