postcode,suburb_name,zone,petrol_vehicles,diesel_vehicles,total_vehicles,ev_penetration_pct,diesel_fraction_pct,fleet_type,forecast_date,week_end,run_date,ulp91_current_cpl,ulp91_forecast_cpl,ulp91_change_cpl,ulp91_spread_cpl,ulp91_spread_source,ulp95_current_cpl,ulp95_forecast_cpl,ulp95_change_cpl,ulp95_spread_cpl,ulp95_spread_source,diesel_current_cpl,diesel_forecast_cpl,diesel_change_cpl,diesel_spread_cpl,diesel_spread_source
3029,Hoppers Crossing,inner_metro,91799,25678,120573,1.8,21.9,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,193.9,186.9,-7.0,-2.0,live,249.5,254.4,4.9,-4.0,live
3064,Craigieburn,inner_metro,77467,20588,100145,1.3,21.0,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,195.7,188.7,-7.0,-0.2,live,250.0,254.9,4.9,-3.5,live
3977,Cranbourne South,regional_vic,71613,22795,96384,1.4,24.1,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,176.7,167.7,-9.0,-4.2,live,192.9,185.9,-7.0,-3.0,live,247.0,251.9,4.9,-6.5,live
3030,Point Cook,inner_metro,71566,19663,94058,2.5,21.6,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,193.9,186.9,-7.0,-2.0,live,253.0,257.9,4.9,-0.5,live
3350,Ballarat,middle_metro,42968,15497,59520,1.2,26.5,mixed,2026-05-08,2026-05-14,2026-05-03,177.1,168.1,-9.0,-3.8,live,191.9,184.9,-7.0,-4.0,live,253.0,257.9,4.9,-0.5,live
3978,Cranbourne West,regional_vic,40734,10350,52552,2.2,20.3,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,178.1,169.1,-9.0,-2.8,live,192.2,185.2,-7.0,-3.7,live,253.5,258.4,4.9,0.0,live
3175,Dandenong,inner_metro,40105,21589,63443,2.0,35.0,mixed,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,195.9,188.9,-7.0,0.0,live,249.0,253.9,4.9,-4.5,live
3023,Deer Park,inner_metro,39034,10599,50701,1.6,21.4,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,174.1,165.1,-9.0,-6.8,live,187.9,180.9,-7.0,-8.0,live,248.5,253.4,4.9,-5.0,live
3150,Glen Waverley,inner_metro,37315,7438,46769,4.0,16.6,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,177.1,168.1,-9.0,-3.8,live,192.2,185.2,-7.0,-3.7,live,252.0,256.9,4.9,-1.5,live
3216,Geelong,middle_metro,36102,11380,48544,1.5,24.0,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,178.4,169.4,-9.0,-2.5,live,194.9,187.9,-7.0,-1.0,live,243.0,247.9,4.9,-10.5,live
3805,Narre Warren South,regional_vic,35803,10141,46947,1.5,22.1,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,176.5,167.5,-9.0,-4.4,live,192.2,185.2,-7.0,-3.7,live,255.0,259.9,4.9,1.5,live
3810,Pakenham,regional_vic,35268,13865,50022,1.0,28.2,mixed,2026-05-08,2026-05-14,2026-05-03,176.8,167.8,-9.0,-4.1,live,191.3,184.3,-7.0,-4.6,live,251.8,256.7,4.9,-1.7,live
3806,Berwick,regional_vic,33992,9757,45055,2.5,22.3,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,178.4,169.4,-9.0,-2.5,live,194.4,187.4,-7.0,-1.5,live,253.0,257.9,4.9,-0.5,live
3199,Frankston,inner_metro,33588,9985,44542,1.6,22.9,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,177.1,168.1,-9.0,-3.8,live,193.8,186.8,-7.0,-2.1,live,249.0,253.9,4.9,-4.5,live
3021,Sunshine North,inner_metro,31894,5336,37728,0.6,14.3,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.1,171.1,-9.0,-0.8,live,194.9,187.9,-7.0,-1.0,live,254.0,258.9,4.9,0.5,live
3037,Delahey,inner_metro,30667,7482,38828,1.2,19.6,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,176.0,167.0,-9.0,-4.9,live,191.4,184.4,-7.0,-4.5,live,249.3,254.2,4.9,-4.2,live
3073,Reservoir,inner_metro,29403,5830,35944,1.4,16.5,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,179.5,170.5,-9.0,-1.4,live,194.9,187.9,-7.0,-1.0,live,247.0,251.9,4.9,-6.5,live
3754,Doreen,regional_vic,28766,8298,37922,1.8,22.4,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,195.8,188.8,-7.0,-0.1,live,253.0,257.9,4.9,-0.5,live
3020,Sunshine,inner_metro,28451,8523,37738,1.3,23.1,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,195.7,188.7,-7.0,-0.2,live,255.0,259.9,4.9,1.5,live
3136,Croydon,inner_metro,28353,7443,36632,1.8,20.8,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,179.1,170.1,-9.0,-1.8,live,192.2,185.2,-7.0,-3.7,live,255.0,259.9,4.9,1.5,live
3550,Bendigo,regional_vic,27567,11441,39684,1.0,29.3,mixed,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,197.2,190.2,-7.0,1.3,live,252.0,256.9,4.9,-1.5,live
3429,Sunbury,middle_metro,26796,9400,36955,1.3,26.0,mixed,2026-05-08,2026-05-14,2026-05-03,175.9,166.9,-9.0,-5.0,live,187.9,180.9,-7.0,-8.0,live,249.0,253.9,4.9,-4.5,live
3338,Melton,middle_metro,25662,7487,33851,1.3,22.6,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,174.1,165.1,-9.0,-6.8,live,190.9,183.9,-7.0,-5.0,live,257.5,262.4,4.9,4.0,zone_model
3156,Boronia,inner_metro,25167,8090,34029,1.7,24.3,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,177.9,168.9,-9.0,-3.0,live,193.9,186.9,-7.0,-2.0,live,250.6,255.5,4.9,-2.9,live
3337,Melton South,middle_metro,25162,9107,34805,0.7,26.6,mixed,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,195.9,188.9,-7.0,0.0,live,250.0,254.9,4.9,-3.5,live
3690,Wodonga,regional_vic,24976,13841,39213,0.5,35.7,mixed,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,196.4,189.4,-7.0,0.5,live,257.0,261.9,4.9,3.5,live
3551,Bendigo,regional_vic,24424,14781,39822,0.7,37.7,mixed,2026-05-08,2026-05-14,2026-05-03,183.1,174.1,-9.0,2.2,live,197.9,190.9,-7.0,2.0,live,248.2,253.1,4.9,-5.3,live
